continent,country,country_name,name,lat,lng,population,capital
SA,AR,Argentina,Tortuguitas,-34.47513,-58.75367,41390,Buenos Aires
SA,AR,Argentina,Tigre,-34.42603,-58.57962,31106,Buenos Aires
SA,AR,Argentina,Tandil,-37.3287,-59.1369,115877,Buenos Aires
SA,AR,Argentina,San Vicente,-26.61667,-54.13333,38247,Buenos Aires
SA,AR,Argentina,Santo Tomé,-28.55104,-56.04125,22634,Buenos Aires
SA,AR,Argentina,Santos Lugares,-34.60306,-58.54074,37267,Buenos Aires
SA,AR,Argentina,Santa Elena,-30.94432,-59.78832,18410,Buenos Aires
SA,AR,Argentina,San Pedro,-33.67918,-59.66633,47452,Buenos Aires
SA,AR,Argentina,San Pedro,-26.6218,-54.10902,23736,Buenos Aires
SA,AR,Argentina,San Luis del Palmar,-27.50766,-58.55625,15347,Buenos Aires
SA,AR,Argentina,San Lorenzo,-28.13442,-58.76685,47626,Buenos Aires
SA,AR,Argentina,San Javier,-30.58072,-59.92962,15606,Buenos Aires
SA,AR,Argentina,San Isidro,-34.46971,-58.52111,45190,Buenos Aires
SA,AR,Argentina,San Antonio de Padua,-34.66267,-58.69819,37745,Buenos Aires
SA,AR,Argentina,Saladillo,-35.63884,-59.77938,35669,Buenos Aires
SA,AR,Argentina,Saladas,-28.25504,-58.62386,18349,Buenos Aires
SA,AR,Argentina,Retiro,-34.58333,-58.38333,38635,Buenos Aires
SA,AR,Argentina,Resistencia,-27.46363,-58.98665,290793,Buenos Aires
SA,AR,Argentina,Reconquista,-29.15,-59.65,90184,Buenos Aires
SA,AR,Argentina,Quilmes,-34.72065,-58.25454,262379,Buenos Aires
SA,AR,Argentina,Puerto Rico,-26.8089,-55.02147,17491,Buenos Aires
SA,AR,Argentina,Puerto Iguazú,-25.59912,-54.57355,32038,Buenos Aires
SA,AR,Argentina,Puerto Esperanza,-26.02267,-54.61356,15579,Buenos Aires
SA,AR,Argentina,Puerto Eldorado,-26.40843,-54.69463,54189,Buenos Aires
SA,AR,Argentina,Posadas,-27.39184,-55.92379,305874,Buenos Aires
SA,AR,Argentina,Pontevedra,-34.74947,-58.70158,33515,Buenos Aires
SA,AR,Argentina,Pirané,-25.73271,-59.10989,19124,Buenos Aires
SA,AR,Argentina,Pilar,-34.45867,-58.91398,81120,Buenos Aires
SA,AR,Argentina,Paso de los Libres,-29.71251,-57.08771,43805,Buenos Aires
SA,AR,Argentina,Oberá,-27.48683,-55.11994,56528,Buenos Aires
SA,AR,Argentina,Nogoyá,-32.39375,-59.78955,43195,Buenos Aires
SA,AR,Argentina,Necochea,-38.5545,-58.73961,73557,Buenos Aires
SA,AR,Argentina,Muñiz,-34.55622,-58.70739,26844,Buenos Aires
SA,AR,Argentina,Morón,-34.65118,-58.62205,99066,Buenos Aires
SA,AR,Argentina,Monte Caseros,-30.2518,-57.63537,24671,Buenos Aires
SA,AR,Argentina,Montecarlo,-26.56849,-54.7579,22229,Buenos Aires
SA,AR,Argentina,Merlo,-34.66536,-58.72744,268961,Buenos Aires
SA,AR,Argentina,Mercedes,-34.65072,-59.43143,63284,Buenos Aires
SA,AR,Argentina,Mercedes,-29.18416,-58.07519,30649,Buenos Aires
SA,AR,Argentina,Haedo,-34.64239,-58.59212,37745,Buenos Aires
SA,AR,Argentina,Mar del Plata,-38.00042,-57.5562,593337,Buenos Aires
SA,AR,Argentina,Luján,-34.5664,-59.11478,97363,Buenos Aires
SA,AR,Argentina,Los Polvorines,-34.50316,-58.70596,53354,Buenos Aires
SA,AR,Argentina,Lomas de Zamora,-34.7574,-58.40279,111897,Buenos Aires
SA,AR,Argentina,La Plata,-34.92126,-57.95442,195443,Buenos Aires
SA,AR,Argentina,La Paz,-30.74179,-59.64517,24716,Buenos Aires
SA,AR,Argentina,Jardín América,-27.04346,-55.22698,24905,Buenos Aires
SA,AR,Argentina,Ituzaingó,-27.58504,-56.68707,168419,Buenos Aires
SA,AR,Argentina,Hurlingham,-34.5904,-58.62904,60000,Buenos Aires
SA,AR,Argentina,Gualeguaychú,-33.00777,-58.51836,78676,Buenos Aires
SA,AR,Argentina,Gualeguay,-33.14091,-59.31257,33120,Buenos Aires
SA,AR,Argentina,Goya,-29.13995,-59.26343,70245,Buenos Aires
SA,AR,Argentina,Gobernador Virasora,-28.05,-56.03333,28756,Buenos Aires
SA,AR,Argentina,General Pacheco,-34.45256,-58.64312,43287,Buenos Aires
SA,AR,Argentina,General José de San Martín,-26.53643,-59.34138,31758,Buenos Aires
SA,AR,Argentina,Garupá,-27.48315,-55.82924,28814,Buenos Aires
SA,AR,Argentina,Formosa,-26.18489,-58.17313,222226,Buenos Aires
SA,AR,Argentina,Fontana,-27.42039,-59.03731,26745,Buenos Aires
SA,AR,Argentina,Federal,-30.95619,-58.7797,16333,Buenos Aires
SA,AR,Argentina,Esquina,-30.01476,-59.5289,26399,Buenos Aires
SA,AR,Argentina,El Soberbio,-27.29662,-54.19811,19571,Buenos Aires
SA,AR,Argentina,El Palomar,-34.61771,-58.60153,59031,Buenos Aires
SA,AR,Argentina,Don Torcuato,-34.49459,-58.62729,71356,Buenos Aires
SA,AR,Argentina,Dolores,-36.31539,-57.67546,25190,Buenos Aires
SA,AR,Argentina,Curuzú Cuatiá,-29.79145,-58.0499,36390,Buenos Aires
SA,AR,Argentina,Corrientes,-27.46784,-58.8344,346334,Buenos Aires
SA,AR,Argentina,Concordia,-31.39195,-58.01706,145210,Buenos Aires
SA,AR,Argentina,Concepción del Uruguay,-32.48463,-58.23217,67895,Buenos Aires
SA,AR,Argentina,Colón,-32.22312,-58.14426,58219,Buenos Aires
SA,AR,Argentina,Colegiales,-34.57365,-58.44924,57000,Buenos Aires
SA,AR,Argentina,Chascomús,-35.57681,-58.01215,47524,Buenos Aires
SA,AR,Argentina,Chajarí,-30.75482,-57.98196,30655,Buenos Aires
SA,AR,Argentina,Castelar,-34.65142,-58.64074,107786,Buenos Aires
SA,AR,Argentina,Campana,-34.16327,-58.95919,86860,Buenos Aires
SA,AR,Argentina,Buenos Aires,-34.61315,-58.37723,2891082,Buenos Aires
SA,AR,Argentina,Boedo,-34.63333,-58.41667,48231,Buenos Aires
SA,AR,Argentina,Berazategui,-34.76531,-58.21278,180523,Buenos Aires
SA,AR,Argentina,Bella Vista,-34.5651,-58.69034,79737,Buenos Aires
SA,AR,Argentina,Belgrano,-34.5627,-58.45829,138942,Buenos Aires
SA,AR,Argentina,Barranqueras,-27.48132,-58.93925,50823,Buenos Aires
SA,AR,Argentina,Barracas,-34.64966,-58.38341,77474,Buenos Aires
SA,AR,Argentina,Balcarce,-37.84638,-58.25549,38823,Buenos Aires
SA,AR,Argentina,Azul,-36.77803,-59.85848,53941,Buenos Aires
SA,AR,Argentina,Ayacucho,-37.15276,-58.48838,17364,Buenos Aires
SA,AR,Argentina,Avellaneda,-29.11761,-59.65834,23341,Buenos Aires
